"","id","revenue"
"1",3001,12364644.7650532
"2",3002,8523170.55752049
"3",3003,13783662.3135459
"4",3004,23699162.0092246
"5",3005,12675221.750423
"6",3006,16760657.9921986
"7",3007,14417099.7215143
"8",3008,58823628.8400211
"9",3009,31820940.0171525
"10",3010,326155164.731835
"11",3011,12491925.1118768
"12",3012,13531726.4437653
"13",3013,21259853.6753894
"14",3014,12187564.0575914
"15",3015,34235771.2317813
"16",3016,12564865.9018848
"17",3017,70836396.6265589
"18",3018,170146683.223652
"19",3019,15112906.1263072
"20",3020,343559110.733904
"21",3021,55477812.0280449
"22",3022,50727895.3714362
"23",3023,12744620.8915662
"24",3024,40076752.9388396
"25",3025,13081548.2332492
"26",3026,71684820.344634
"27",3027,13222744.3969695
"28",3028,102196892.836523
"29",3029,11844887.9815802
"30",3030,71950385.8434335
"31",3031,16849693.1852927
"32",3032,10376777.48477
"33",3033,10499141.0434054
"34",3034,13089577.5441722
"35",3035,13005355.2673029
"36",3036,21134399.9015013
"37",3037,45105403.5146257
"38",3038,38140697.4771373
"39",3039,27702330.116173
"40",3040,10926471.8128067
"41",3041,22874736.393515
"42",3042,12444433.821619
"43",3043,15699092.6834625
"44",3044,15595476.5839906
"45",3045,379128120.650584
"46",3046,12712539.6731701
"47",3047,13981797.5734905
"48",3048,31799459.8804691
"49",3049,14384921.3706309
"50",3050,27376389.4143829
"51",3051,12830342.1399994
"52",3052,31629999.9869739
"53",3053,12739508.3973301
"54",3054,11667468.4414292
"55",3055,67441850.4533098
"56",3056,11616517.8113955
"57",3057,101464562.380168
"58",3058,546956480.226424
"59",3059,12893897.6980788
"60",3060,91767000.3460518
"61",3061,35662262.517198
"62",3062,30392168.1747038
"63",3063,41702517.4335588
"64",3064,87744108.8088923
"65",3065,30213754.7406431
"66",3066,59061090.4609152
"67",3067,14335264.9358478
"68",3068,44002558.8799781
"69",3069,233912222.170164
"70",3070,12603723.4060296
"71",3071,16501069.8298612
"72",3072,551209883.698937
"73",3073,12758880.9146345
"74",3074,13420763.8805746
"75",3075,34857769.6849373
"76",3076,198156043.63348
"77",3077,29256592.2026808
"78",3078,80016008.696485
"79",3079,45747789.4304687
"80",3080,127340421.907417
"81",3081,21546038.1716721
"82",3082,13736806.4646074
"83",3083,19732308.6648743
"84",3084,12664218.6473904
"85",3085,22968991.3707979
"86",3086,67259765.4375324
"87",3087,12525994.2024626
"88",3088,12762685.4217334
"89",3089,13146351.1151822
"90",3090,39786915.6831553
"91",3091,30347644.4805266
"92",3092,13658016.5908888
"93",3093,289594659.960586
"94",3094,74632828.9671591
"95",3095,49093439.3871167
"96",3096,12051674.2928158
"97",3097,534380770.144335
"98",3098,20199257.5384991
"99",3099,67664700.1250924
"100",3100,14240596.6303274
"101",3101,14172432.3979464
"102",3102,15100949.6536739
"103",3103,13024993.7152169
"104",3104,12890472.8886199
"105",3105,104059507.164317
"106",3106,125972354.418973
"107",3107,34877879.3957124
"108",3108,21055873.654567
"109",3109,13712765.6624957
"110",3110,354691388.488099
"111",3111,14206739.3022285
"112",3112,13010643.244807
"113",3113,18509449.02034
"114",3114,24484613.0727856
